document,term,count
535,helen,1
535,longing,1
535,overcame,1
535,paris,1
537,dread,1
537,forceth,1
537,misery,1
537,tempting,1
538,child,1
538,forescheming,1
538,woe,1
539,desire,1
539,fell,1
539,help,1
539,vain,1
539,within,1
540,bright,1
540,like,1
540,shineth,1
540,sin,1
540,"veil\u00e3d",1
541,false,1
541,gold,1
541,show,1
541,will,1
542,black,1
542,doth,1
542,fade,1
542,touchstone,1
542,trieth,1
543,child,1
543,gods,1
543,honour,1
543,like,1
543,ordeal,1
544,bird,1
544,chased,1
544,forgetting,1
544,hath,1
544,"wing\u00e3d",1
545,amid,1
545,people,1
545,planted,1
545,sharp,1
545,thorn,1
546,god,1
546,heard,1
546,hears,1
546,prayer,1
547,basebeguiled,1
547,man,1
548,cast,1
548,scorn,1
550,argos,1
550,came,1
550,paris,1
551,led,1
551,love,1
551,woman,1
552,altar,1
552,brought,1
552,gods,1
552,shame,1
553,fed,1
553,hand,1
553,robbing,1
555,flight,1
555,helens,1
555,kings,1
555,phantom,1
555,seen,1
555,seers,1
555,visions,1
556,grief,1
556,helen,1
556,kings,1
558,among,1
558,hath,1
558,left,1
558,noise,1
558,people,1
558,shield,1
558,sword,1
559,armed,1
559,long,1
559,men,1
559,moored,1
559,ships,1
559,tramp,1
560,desolation,1
560,dower,1
560,goings,1
560,hath,1
560,taen,1
561,gated,1
561,great,1
561,hath,1
561,quickly,1
561,stept,2
561,tower,1
562,hath,1
562,thing,1
563,ill,1
563,saw,1
563,seers,1
563,spoke,1
563,strange,1
563,visions,1
564,great,1
564,king,1
564,palace,2
564,thereof,1
565,bed,2
565,empty,1
565,love,1
565,pressed,1
